	22	29	15	24	36	5	20	25	3	31	38	52	10	4	43	46	28	23	32	37	48	12	14	35	50	6	21	30	42	75	26	55	57	58	60	64	65	66	71	72	73	78	81	85	86	90	92	96	11	13	56	59	61	67	68	69	74	76	77	80	82	83	84	87	89	91	93	94	95	47	16	19	45	8	1	34	9	18	2	40	33	17
CD4+ Tem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ naive T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0	0	0	0	0	0.0013	0	2e-04	0.0034	0	0	0	0	0	0	0.0011	0	0	0	0.0022	0.0144	0	0	0.0155	0	0	0	0	0	0	0	0	0.0069
CD8+ T-cells	0.0742	0	0.1407	0	0.0192	8e-04	0.0368	0	0	0	0	0	0	0.0041	0.0322	0.104	0.0098	0.0239	0.0063	0	0.0163	0	0	0.0103	0.0288	0.0052	0.0278	0.0145	0.0579	0.0145	0	0	0	0	0	0.0048	0	0	0	0	0	0	0	0	0	7e-04	0	0.0021	0.1907	0	0	0.0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0598	0	0.0494	0.2054	0.0808	0.0283	0.0013	0.1053	0.1135	0	0	0	0.0131
CD8+ Tcm	0.137	0.0263	0.2483	0.0453	0.0791	0.066	0.0992	0.0351	0.1135	0.039	0.0508	0.0502	0.0505	0.0818	0.1193	0.1675	0.1018	0.0751	0.0531	0.0273	0.1569	0.0192	0	0.0629	0.1098	0.1143	0.0584	0.0601	0.1442	0.0857	0.023	0.0023	0.0297	0.0445	0	0.0615	0.0256	0.0117	0.0528	0.0101	0.0174	0.0172	0.036	0.0082	0.0331	0.0781	0.0159	0.0848	0.2863	0.0604	0.0313	0.0518	0.0224	0.01	0.0322	0.0161	0.0201	0.0403	0.0421	0.0588	0.014	0.0353	0.0693	0.0351	0.0087	0.0211	0.005	0.0137	0.0371	0.1867	0	0.1202	0.3039	0.1847	0.1412	0.0625	0.16	0.1881	0.0346	0.045	0.0573	0.0566
CD8+ Tem	0	0	0.0513	0	0	0	0	0	0	0	0	0	0.0017	0.0125	0	0.0354	0.0078	0	0	0	0.0049	0	0	0.0055	0	0	0	0.0061	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0.0162	0.0225	0	0	0	0	0	0	0	0.0011
cDC	0.0645	0.0193	0.1428	0.1517	0.0293	0.0334	0.0629	0.0157	0.0547	0.0711	0.1456	0.0935	0.1246	0	0.096	0.1581	0.0885	0.0267	0.0355	0.0467	0.1207	0	0.0329	0.0452	0.1164	0.0991	0.0139	0.0464	0.1776	0.08	0.0989	0.0236	0.0086	0.0697	0.0132	0.0331	0.0505	0.0597	0.0467	0.0717	0.0441	0.0433	0.0791	0.0617	0.0329	0.0844	0.0443	0.0714	0.1251	0.0957	0.0442	0.0266	0.0967	9e-04	0.0333	0.0275	0.0577	0.0416	0.0665	0.0799	0.0465	0.041	0.052	0.1193	0.0275	0.0781	0.0291	0.0381	0.0462	0.2301	0.0927	0.1842	0.3324	0.2039	0.1602	0.1917	0.269	0.0752	0.0559	0.0769	0.0706	0.0111
Chondrocytes	0.0059	0.0713	0.0116	0.0558	0.0325	0.0087	0.0117	0.0281	5e-04	0	0.0249	0.0045	0.0291	0	3e-04	0.0028	0	0.008	0	0.009	0	0	0.0207	0	0.0067	0.0012	0.0586	0.0061	0.0037	0.0025	0.0106	0.004	0.009	0.001	0.0734	0.0036	0	0.0166	0	0.006	5e-04	0.003	0.0109	0.0062	0.0036	0	0.0067	8e-04	0.008	0	0	0.0156	4e-04	0.0017	0	0.0106	0.0067	0	0.0315	0	0.0129	0	0.0106	0	0.012	0	0.0056	0.0027	0	0	0.1416	0.0128	0	0	0	0.0146	0.0118	0	0.0453	0.0286	0	0.0241
Class-switched memory B-cells	0.0846	0	0.1532	0.1026	0.0519	0.0148	0.1145	0.0297	0.061	0.0155	0.0816	0	0	0.0175	0.0504	0.1894	0	0.0769	0.0712	0.0555	0.0459	0.0124	0	0.05	0.1538	0.0204	0	0.0458	0.1506	0.0656	0.0206	0.0276	0.0137	0.0606	0	0.0309	0.0112	0.0086	0.0302	0.0186	0.0011	0.0265	0.003	0.034	0.0325	0.0543	0.0109	0.0474	0.1549	0.0239	0.0361	0.0208	0.0465	0.0094	0.0194	0.0201	0.0272	0.0456	0.0173	0.0301	0.0069	0.0162	0.0101	0.0359	0.0234	0.0252	0.0165	0.0195	0.0524	0.3104	0	0.0555	0.1629	0.2172	0.1775	0.0583	0.0953	0.0421	0.0172	0.0684	0.0185	0
CLP	0	0.0041	0	0	0	0	0	0	0.0045	0	0	0	0	0.0078	0	0	0	0	0.0038	0	0	0.0067	0.0084	0	0	0	0	0	0	0	0.0092	0.007	0	0	9e-04	0	0.0033	0	8e-04	0.0064	0.0137	0.0017	0	0.0073	0	0	5e-04	0	0	0.0032	0.003	0	0.0062	0.0097	0	0.0066	3e-04	0.0192	0.0391	0.012	6e-04	0.0151	0.0043	0	0	0	0.012	0.0083	0.02	0.0038	0	0.0336	0	0	0	0	0	0.0169	0	0.005	0.005	0
CMP	0	9e-04	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148	0	0	0	0	0.0029	0	0	0	0	0	0.0042
