"","M19","M6","M14","M37","M29","M31","M18","M32","M33","M27","M34","M38","M26","M2","M3","M17","M28","M11","M35","M5","M4","M24","M23","M16","M8","M25","M9","M1","M30","M12","M21","M15","M7","M20","M13","M22","M10","M36"
"22",-0.117078768598405,0.134486528850857,-0.056491859901567,0.163856782634704,0.1027220646367,0.111699942605538,0.0953254362304782,-0.0265231835332647,0.0442458477960474,0.115532458562389,-0.0405927389180077,-0.01172393686283,0.137087275943112,-0.0232280549535337,0.103765086734423,0.0204758496354106,0.0588660772560582,-0.1107859968383,0.120145237238915,-0.0219910346689699,0.0342135411904068,-0.106548519677583,0.0748653633907728,0.0109772391182871,0.0770314381673506,-0.155848958710048,0.122498814846852,0.287874343097369,-0.00243084593880449,0.0497554622139301,-0.0526552872574106,-0.0234589658150054,0.0249156799011981,-0.0585659523044063,-0.000370942747770874,0.0652604157473846,0.0850956876487306,-0.0637784058625697
"29",-0.0641350371466285,-0.088666919128092,-0.00383193048662012,-0.0833946041298398,-0.116893835267009,-0.00624670606039779,-0.0839231759791913,-0.132170166843443,-0.0917721867504988,0.0418280125779019,-0.237051433796152,0.116091166297724,0.192345930828551,0.324871482175599,0.171999411569316,0.02056179433329,0.0561156084268907,0.106384086695851,-0.106843964612016,0.0319775982062483,0.380241234319512,-0.0516021756039934,0.156180283828104,-0.138934799615468,0.00630890711269638,0.0443058067568098,0.125358840473405,0.469998639168146,-0.0801623739838141,-0.183731172517478,-0.105348803295684,-0.019432927854402,0.0629425864304127,-0.168022612049343,0.933734983830188,0.0113840534966742,0.225538474154404,0.0759964042156217
"15",-0.152482956882993,0.216401987155563,-0.021086310256336,0.0520801609254769,-0.0363623008065679,0.0415840041219736,-0.198798447906098,-0.101293936059873,0.0267421234910677,0.0148383198819737,-0.0319803267461319,0.0167035783499112,-0.105593606144095,0.1228161948435,0.149293622555039,-0.139467027618283,0.067434226385228,-0.135718376799995,0.0100970392538467,0.160228593484504,0.189264715644834,-0.258366189130415,-0.0579471352431638,-0.21601251964078,-0.11275349688273,-0.18562904136009,-0.0752649809155907,-0.00911551508337533,-0.0778611241526421,0.370649868848211,-0.209320224230146,-0.0344432708557899,0.17483916042501,-0.289788560318927,-0.0376084667867513,-0.0945198700646431,-0.0125602868314089,-0.148189287434206
"24",-0.167257251083576,0.122559759617573,0.074513036995145,-0.111569681022938,-0.112003229097857,-0.0307302079917784,-0.118474221112037,-0.156811412978915,-0.0256810195095156,-0.000752362221472067,-0.122123794023856,-0.00726660798695553,0.0453712788776086,0.314241055960445,0.180087316365784,-0.0989690215053961,0.0358843089403673,-0.0946419910020006,-0.081547581598853,0.348586263811982,0.378796914040563,-0.206975027216284,-0.0205611973720552,-0.175262597351353,0.0865214897049089,-0.157197810298508,-0.0154919344035724,0.0976661754814385,-0.185186675103678,0.161295591089087,-0.217619559729041,-0.0483806787570992,0.230367585478176,-0.27424084540677,0.0605975198901596,-0.109341947603866,0.163152971656007,0.0382094665594293
"36",-0.00608483312587119,-0.0519602502426313,-0.0453129869015222,0.0552506838589748,-0.0321593702365997,-0.0616406413000952,0.511661190615228,0.0923120765029126,0.12923809148012,-0.0839322405366152,-0.104676665555819,-0.0421368830534612,-0.120792333677548,-0.057843547841272,-0.0345737478274286,-0.0594750790059531,-0.155579999047498,-0.104185382729058,0.0351902392979442,-0.160769069908757,-0.0879809920339729,0.014934013853852,-9.81431268315975e-05,0.141385451633092,0.0242026569167017,-0.0999452327960577,0.035113528597615,0.0034105633922119,-0.0290269235368657,-0.0955108870044075,0.0856854003900365,-0.0661253957094549,-0.194928273554331,0.0717186109151184,-0.0473160073173656,-0.0314907110195158,-0.0015793860423602,0.034259322673654
"5",0.0825126616282666,-0.0767949363563976,-0.0243228854576452,-0.0606793761419802,-0.0753617690721698,-0.00768937158859277,0.0910377049841763,0.0360497809412655,-0.0251191122205764,0.0887783741325529,0.00987407211516856,-0.022449492251737,0.0191008744208867,-0.0224616616853342,-0.0727909057468723,0.118953279491564,0.0519173240380447,-0.096249267672538,0.0204380013507103,-0.0708290872733724,-0.0341659921574983,0.0973119305953095,0.299237297877852,0.245280647257292,-0.0487975608152456,-0.0290544986794807,-0.0564590258295848,-0.0734004765613741,-0.0582066570736057,0.0441220306703232,0.13891653086871,-0.0684912698328056,-0.0574276993650341,0.142443812762087,-0.0278672877715751,0.188205265310558,-0.0435404872165073,-0.0315007042813791
"20",0.0600187932803403,0.024693553880417,-0.10949453649024,0.155427792403376,0.148038452527669,0.0967190065056269,-0.0143686970902484,0.094815360632382,0.0517814722186042,0.0141934930857007,0.0763912931696711,0.0550203543851437,0.148238310230076,-0.0685646964461044,-0.0265249526993241,0.173832874148438,0.0206744303925307,-0.0998869269598917,0.0761938160898626,-0.126512272531919,-0.0900637475947936,0.0102117298025338,-0.0228030371100949,0.141408630325478,0.0117359802880834,-0.0812581072629067,0.00432180102463856,-0.0281944767070192,0.148400454236583,0.0421734790763097,0.113041847577191,-0.0794651209071905,-0.118360576179357,0.0838530616513329,-0.0551889169635438,0.0122145721300955,0.000801636287221258,0.0419582277650943
"25",-0.0552834149885851,-0.0671799331394455,0.120839960127229,-0.180705640747945,-0.25662674346247,-0.21273963247096,-0.0774630160529624,-0.246618080153481,-0.117247714662751,-0.226714638386362,-0.232550217712743,0.0200006882526366,0.150402450838496,0.0859605765015969,-0.0349311810414121,-0.0314714572313541,-0.173021936930645,0.0223891256036867,-0.234351781673622,-0.0440853734821953,0.0335452562236783,-0.0870425996847366,0.122183835053691,-0.0912597356815151,0.210891403415751,-0.0262603504857304,0.0445152054910874,-0.0760098127486541,-0.154716165647571,-0.0396536767368496,-0.246611826104836,-0.0166921137305802,-0.0277242876829103,-0.0992772679146106,0.0273341547031961,-0.221816147184933,0.119970937353074,0.261222152249111
"3",-0.057396230440527,-0.0735896890772506,0.610025430822887,-0.117613317702156,-0.187099446115855,-0.289457308791469,-0.0751198369351767,-0.164596715739638,-0.176664251449436,-0.308714865732445,-0.0775882550654868,-0.206346586379277,-0.343432199094638,-0.058068619647091,-0.144482874299502,-0.327222368411713,-0.213075384179698,0.0850317469666696,-0.24026171257795,0.0657566323972495,-0.0517000142653062,-0.017156210500966,-0.256683965139907,-0.101216699526611,-0.128665508231673,0.0617047981949531,-0.0769403846768636,-0.149083358870898,-0.0188509111771889,0.0689065958842165,-0.12901108675855,0.952764253643078,-0.0409472317208377,-0.0125640283922653,0.0271274577029723,-0.266783977178409,-0.169247756550599,0.021618607596352
"31",0.345357994164707,-0.120387960729483,-0.167293563134541,-0.21265516174471,0.0156148942461769,0.0870283994548932,-0.00668490899142352,-0.156934298856901,-0.284225509459318,0.112531279463384,0.0795474442996658,0.268169311959242,0.229897749791325,-0.0914456817129944,-0.129544194891054,0.285408354065401,0.379752102846624,0.116699685462806,-0.186852877866704,0.32594411958007,0.0171568064068837,0.0596064609775497,0.143234834855201,-0.0360428500410342,-0.146679345053088,0.160769219694102,-0.129154629639265,-0.0613859288534576,0.162593728740065,0.179908537881048,0.0829599515504421,-0.038383855802403,0.203966319079893,0.113331996668207,-0.0493687695223799,0.20123946209329,-0.143610869927834,-0.185875205687887
